category,item,price,min_price,max_price
 Utilities (Monthly),Domestic Beer (0.5 liter bottle),1.19 $,1.00,1.78
 Utilities (Monthly),Imported Beer (12 oz small bottle),2.28 $,1.27,3.06
 Utilities (Monthly),Cigarettes 20 Pack (Marlboro),4.02 $,3.57,4.07
 Utilities (Monthly),One-way Ticket (Local Transport),0.61 $,0.51,0.71
 Utilities (Monthly),Monthly Pass (Regular Price),52.15 $,25.47,73.35
 Utilities (Monthly),Taxi Start (Normal Tariff),3.06 $,2.55,5.09
 Utilities (Monthly),Taxi 1 mile (Normal Tariff),4.21 $,2.55,4.92
 Utilities (Monthly),Taxi 1hour Waiting (Normal Tariff),10.00 $,7.64,20.37
 Utilities (Monthly),Gasoline (1 gallon),4.71 $,4.59,5.01
 Utilities (Monthly),Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"25,468.03 $","22,921.23","28,014.83"
 Utilities (Monthly),Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"21,901.23 $","19,355.70","22,411.87"
 Utilities (Monthly),"Basic (Electricity, Heating, Cooling, Water, Garbage) for 915 sq ft Apartment",108.05 $,77.93,163.00
 Utilities (Monthly),Mobile Phone Monthly Plan with Calls and 10GB+ Data,22.26 $,10.19,25.47
 Utilities (Monthly),"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",30.43 $,20.37,40.75
 Utilities (Monthly),"Fitness Club, Monthly Fee for 1 Adult",23.74 $,20.32,25.47
 Utilities (Monthly),Tennis Court Rent (1 Hour on Weekend),18.93 $,4.58,20.37
 Utilities (Monthly),"Cinema, International Release, 1 Seat",4.58 $,4.07,10.00
 Utilities (Monthly),"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child",185.92 $,152.81,382.02
 Utilities (Monthly),"International Primary School, Yearly for 1 Child","5,042.67 $","2,750.55","7,334.79"
 Utilities (Monthly),1 Pair of Jeans (Levis 501 Or Similar),49.23 $,25.47,66.22
 Utilities (Monthly),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",36.41 $,25.00,50.94
 Utilities (Monthly),1 Pair of Nike Running Shoes (Mid-Range),81.19 $,50.94,101.87
 Utilities (Monthly),1 Pair of Men Leather Business Shoes,97.16 $,50.94,150.00
 Utilities (Monthly),Apartment (1 bedroom) in City Centre,715.69 $,356.55,"1,273.40"
 Utilities (Monthly),Apartment (1 bedroom) Outside of Centre,394.75 $,152.81,865.91
 Utilities (Monthly),Apartment (3 bedrooms) in City Centre,"1,100.49 $",764.04,"1,629.95"
 Utilities (Monthly),Apartment (3 bedrooms) Outside of Centre,894.21 $,662.17,"1,273.40"
 Utilities (Monthly),Price per Square Feet to Buy Apartment in City Centre,108.84 $,104.11,113.57
 Utilities (Monthly),Price per Square Feet to Buy Apartment Outside of Centre,136.70 $,94.64,189.28
 Utilities (Monthly),Average Monthly Net Salary (After Tax),671.72 $,N/A,N/A
 Utilities (Monthly),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",11.42,10.00,11.50
Sports And Leisure,"Meal, Inexpensive Restaurant",10.19 $,6.11,20.00
Sports And Leisure,"Meal for 2 People, Mid-range Restaurant, Three-course",50.94 $,25.47,100.00
Sports And Leisure,McMeal at McDonalds (or Equivalent Combo Meal),9.68 $,9.17,10.00
Sports And Leisure,Domestic Beer (1 pint draught),2.29 $,1.07,4.58
Sports And Leisure,Imported Beer (12 oz small bottle),4.28 $,3.06,6.62
Sports And Leisure,Cappuccino (regular),3.33 $,1.27,5.81
Sports And Leisure,Coke/Pepsi (12 oz small bottle),1.46 $,1.02,2.80
Sports And Leisure,Water (12 oz small bottle),1.17 $,0.66,2.55
Sports And Leisure,"Milk (regular), (1 gallon)",5.15 $,4.43,5.40
Sports And Leisure,Loaf of Fresh White Bread (1 lb),2.25 $,1.34,2.86
Sports And Leisure,"Rice (white), (1 lb)",0.75 $,0.46,0.87
Sports And Leisure,Eggs (regular) (12),2.27 $,1.68,3.06
Sports And Leisure,Local Cheese (1 lb),4.29 $,2.77,7.00
Sports And Leisure,Chicken Fillets (1 lb),2.85 $,2.00,3.47
Sports And Leisure,Beef Round (1 lb) (or Equivalent Back Leg Red Meat),3.97 $,2.27,4.94
Sports And Leisure,Apples (1 lb),1.34 $,0.92,1.62
Sports And Leisure,Banana (1 lb),0.72 $,0.46,1.50
Sports And Leisure,Oranges (1 lb),1.38 $,0.23,1.62
Sports And Leisure,Tomato (1 lb),0.85 $,0.37,1.16
Sports And Leisure,Potato (1 lb),0.94 $,0.69,1.04
Sports And Leisure,Onion (1 lb),1.01 $,0.46,1.36
Sports And Leisure,Lettuce (1 head),1.03 $,0.51,1.27
Sports And Leisure,Water (1.5 liter bottle),1.11 $,0.61,1.43
Sports And Leisure,Bottle of Wine (Mid-Range),9.17 $,6.11,10.00
Sports And Leisure,Domestic Beer (0.5 liter bottle),1.19 $,1.00,1.78
Sports And Leisure,Imported Beer (12 oz small bottle),2.28 $,1.27,3.06
Sports And Leisure,Cigarettes 20 Pack (Marlboro),4.02 $,3.57,4.07
Sports And Leisure,One-way Ticket (Local Transport),0.61 $,0.51,0.71
Sports And Leisure,Monthly Pass (Regular Price),52.15 $,25.47,73.35
Sports And Leisure,Taxi Start (Normal Tariff),3.06 $,2.55,5.09
Sports And Leisure,Taxi 1 mile (Normal Tariff),4.21 $,2.55,4.92
Sports And Leisure,Taxi 1hour Waiting (Normal Tariff),10.00 $,7.64,20.37
Sports And Leisure,Gasoline (1 gallon),4.71 $,4.59,5.01
Sports And Leisure,Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"25,468.03 $","22,921.23","28,014.83"
Sports And Leisure,Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"21,901.23 $","19,355.70","22,411.87"
Sports And Leisure,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 915 sq ft Apartment",108.05 $,77.93,163.00
Sports And Leisure,Mobile Phone Monthly Plan with Calls and 10GB+ Data,22.26 $,10.19,25.47
Sports And Leisure,"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",30.43 $,20.37,40.75
Sports And Leisure,"Fitness Club, Monthly Fee for 1 Adult",23.74 $,20.32,25.47
Sports And Leisure,Tennis Court Rent (1 Hour on Weekend),18.93 $,4.58,20.37
Sports And Leisure,"Cinema, International Release, 1 Seat",4.58 $,4.07,10.00
Sports And Leisure,"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child",185.92 $,152.81,382.02
Sports And Leisure,"International Primary School, Yearly for 1 Child","5,042.67 $","2,750.55","7,334.79"
Sports And Leisure,1 Pair of Jeans (Levis 501 Or Similar),49.23 $,25.47,66.22
Sports And Leisure,"1 Summer Dress in a Chain Store (Zara, H&M, ...)",36.41 $,25.00,50.94
Sports And Leisure,1 Pair of Nike Running Shoes (Mid-Range),81.19 $,50.94,101.87
Sports And Leisure,1 Pair of Men Leather Business Shoes,97.16 $,50.94,150.00
Sports And Leisure,Apartment (1 bedroom) in City Centre,715.69 $,356.55,"1,273.40"
Sports And Leisure,Apartment (1 bedroom) Outside of Centre,394.75 $,152.81,865.91
Sports And Leisure,Apartment (3 bedrooms) in City Centre,"1,100.49 $",764.04,"1,629.95"
Sports And Leisure,Apartment (3 bedrooms) Outside of Centre,894.21 $,662.17,"1,273.40"
Sports And Leisure,Price per Square Feet to Buy Apartment in City Centre,108.84 $,104.11,113.57
Sports And Leisure,Price per Square Feet to Buy Apartment Outside of Centre,136.70 $,94.64,189.28
Sports And Leisure,Average Monthly Net Salary (After Tax),671.72 $,N/A,N/A
Sports And Leisure,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",11.42,10.00,11.50
Childcare,"Meal, Inexpensive Restaurant",10.19 $,6.11,20.00
Childcare,"Meal for 2 People, Mid-range Restaurant, Three-course",50.94 $,25.47,100.00
Childcare,McMeal at McDonalds (or Equivalent Combo Meal),9.68 $,9.17,10.00
Childcare,Domestic Beer (1 pint draught),2.29 $,1.07,4.58
Childcare,Imported Beer (12 oz small bottle),4.28 $,3.06,6.62
Childcare,Cappuccino (regular),3.33 $,1.27,5.81
Childcare,Coke/Pepsi (12 oz small bottle),1.46 $,1.02,2.80
Childcare,Water (12 oz small bottle),1.17 $,0.66,2.55
Childcare,"Milk (regular), (1 gallon)",5.15 $,4.43,5.40
Childcare,Loaf of Fresh White Bread (1 lb),2.25 $,1.34,2.86
Childcare,"Rice (white), (1 lb)",0.75 $,0.46,0.87
Childcare,Eggs (regular) (12),2.27 $,1.68,3.06
Childcare,Local Cheese (1 lb),4.29 $,2.77,7.00
Childcare,Chicken Fillets (1 lb),2.85 $,2.00,3.47
Childcare,Beef Round (1 lb) (or Equivalent Back Leg Red Meat),3.97 $,2.27,4.94
Childcare,Apples (1 lb),1.34 $,0.92,1.62
Childcare,Banana (1 lb),0.72 $,0.46,1.50
Childcare,Oranges (1 lb),1.38 $,0.23,1.62
Childcare,Tomato (1 lb),0.85 $,0.37,1.16
Childcare,Potato (1 lb),0.94 $,0.69,1.04
Childcare,Onion (1 lb),1.01 $,0.46,1.36
Childcare,Lettuce (1 head),1.03 $,0.51,1.27
Childcare,Water (1.5 liter bottle),1.11 $,0.61,1.43
Childcare,Bottle of Wine (Mid-Range),9.17 $,6.11,10.00
Childcare,Domestic Beer (0.5 liter bottle),1.19 $,1.00,1.78
Childcare,Imported Beer (12 oz small bottle),2.28 $,1.27,3.06
Childcare,Cigarettes 20 Pack (Marlboro),4.02 $,3.57,4.07
Childcare,One-way Ticket (Local Transport),0.61 $,0.51,0.71
Childcare,Monthly Pass (Regular Price),52.15 $,25.47,73.35
Childcare,Taxi Start (Normal Tariff),3.06 $,2.55,5.09
Childcare,Taxi 1 mile (Normal Tariff),4.21 $,2.55,4.92
Childcare,Taxi 1hour Waiting (Normal Tariff),10.00 $,7.64,20.37
Childcare,Gasoline (1 gallon),4.71 $,4.59,5.01
Childcare,Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"25,468.03 $","22,921.23","28,014.83"
Childcare,Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"21,901.23 $","19,355.70","22,411.87"
Childcare,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 915 sq ft Apartment",108.05 $,77.93,163.00
Childcare,Mobile Phone Monthly Plan with Calls and 10GB+ Data,22.26 $,10.19,25.47
Childcare,"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",30.43 $,20.37,40.75
Childcare,"Fitness Club, Monthly Fee for 1 Adult",23.74 $,20.32,25.47
Childcare,Tennis Court Rent (1 Hour on Weekend),18.93 $,4.58,20.37
Childcare,"Cinema, International Release, 1 Seat",4.58 $,4.07,10.00
Childcare,"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child",185.92 $,152.81,382.02
Childcare,"International Primary School, Yearly for 1 Child","5,042.67 $","2,750.55","7,334.79"
Childcare,1 Pair of Jeans (Levis 501 Or Similar),49.23 $,25.47,66.22
Childcare,"1 Summer Dress in a Chain Store (Zara, H&M, ...)",36.41 $,25.00,50.94
Childcare,1 Pair of Nike Running Shoes (Mid-Range),81.19 $,50.94,101.87
Childcare,1 Pair of Men Leather Business Shoes,97.16 $,50.94,150.00
Childcare,Apartment (1 bedroom) in City Centre,715.69 $,356.55,"1,273.40"
Childcare,Apartment (1 bedroom) Outside of Centre,394.75 $,152.81,865.91
Childcare,Apartment (3 bedrooms) in City Centre,"1,100.49 $",764.04,"1,629.95"
Childcare,Apartment (3 bedrooms) Outside of Centre,894.21 $,662.17,"1,273.40"
