category,item,price,min_price,max_price
Childcare,Domestic Beer (0.5 liter bottle),2.20 $,1.47,3.09
Childcare,Imported Beer (12 oz small bottle),2.98 $,1.71,3.77
Childcare,Cigarettes 20 Pack (Marlboro),4.12 $,3.77,4.46
Childcare,One-way Ticket (Local Transport),1.51 $,1.23,2.06
Childcare,Monthly Pass (Regular Price),54.87 $,30.18,121.20
Childcare,Taxi Start (Normal Tariff),3.43 $,3.09,4.80
Childcare,Taxi 1 mile (Normal Tariff),4.86 $,4.33,6.07
Childcare,Taxi 1hour Waiting (Normal Tariff),25.99 $,20.58,34.30
Childcare,Gasoline (1 gallon),4.67 $,4.41,5.19
Childcare,Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"22,923.39 $","18,519.79","23,396.67"
Childcare,Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"17,234.84 $","15,776.12","19,205.71"
Childcare,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 915 sq ft Apartment",184.97 $,124.94,315.52
Childcare,Mobile Phone Monthly Plan with Calls and 10GB+ Data,26.51 $,13.72,48.01
Childcare,"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",33.43 $,27.44,44.58
Childcare,"Fitness Club, Monthly Fee for 1 Adult",68.78 $,28.81,102.89
Childcare,Tennis Court Rent (1 Hour on Weekend),20.40 $,8.92,27.44
Childcare,"Cinema, International Release, 1 Seat",12.69 $,10.97,15.09
Childcare,"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child",558.65 $,259.96,982.74
Childcare,"International Primary School, Yearly for 1 Child","14,973.69 $","9,254.72","26,064.89"
Childcare,1 Pair of Jeans (Levis 501 Or Similar),54.48 $,20.58,82.31
Childcare,"1 Summer Dress in a Chain Store (Zara, H&M, ...)",39.65 $,17.08,54.87
Childcare,1 Pair of Nike Running Shoes (Mid-Range),65.11 $,34.30,89.17
Childcare,1 Pair of Men Leather Business Shoes,87.29 $,34.30,137.18
Childcare,Apartment (1 bedroom) in City Centre,"1,185.87 $",685.92,"1,714.80"
Childcare,Apartment (1 bedroom) Outside of Centre,618.64 $,445.85,"1,097.47"
Childcare,Apartment (3 bedrooms) in City Centre,"2,969.72 $","1,714.80","4,458.47"
Childcare,Apartment (3 bedrooms) Outside of Centre,"1,297.08 $",823.10,"2,057.75"
Childcare,Price per Square Feet to Buy Apartment in City Centre,965.68 $,637.23,"1,911.70"
Childcare,Price per Square Feet to Buy Apartment Outside of Centre,497.46 $,356.72,700.96
Childcare,Average Monthly Net Salary (After Tax),"2,535.76 $",N/A,N/A
Childcare,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",1.86,1.00,2.58
Clothing And Shoes,"Meal, Inexpensive Restaurant",6.86 $,4.80,10.29
Clothing And Shoes,"Meal for 2 People, Mid-range Restaurant, Three-course",48.01 $,34.30,144.04
Clothing And Shoes,McMeal at McDonalds (or Equivalent Combo Meal),5.49 $,5.14,6.17
Clothing And Shoes,Domestic Beer (1 pint draught),3.43 $,1.71,5.49
Clothing And Shoes,Imported Beer (12 oz small bottle),4.80 $,2.40,6.86
Clothing And Shoes,Cappuccino (regular),3.57 $,1.71,5.49
Clothing And Shoes,Coke/Pepsi (12 oz small bottle),1.17 $,0.82,2.06
Clothing And Shoes,Water (12 oz small bottle),0.77 $,0.69,1.27
Clothing And Shoes,"Milk (regular), (1 gallon)",6.21 $,5.19,8.57
Clothing And Shoes,Loaf of Fresh White Bread (1 lb),1.53 $,0.75,3.11
Clothing And Shoes,"Rice (white), (1 lb)",1.78 $,0.93,3.11
